slug,scientific_name,common_name,role,status,instrument,note,year
blow_fly_vicina,Calliphora vicina,blue bottle blow fly,witness,forensic indicator,post-mortem-interval estimation,Larvae aged at 12–14 days secured the first UK murder conviction by entomology in the Buck Ruxton case.,1935
green_bottle_fly,Lucilia sericata,common green bottle fly,witness,forensic indicator,neglect / myiasis analysis,Third-instar larvae in necrotic pressure ulcers established a pre-death neglect window in the 2025 Busan elder-neglect case.,2025
spotted_lanternfly,Lycorma delicatula,spotted lanternfly,threat,active quarantine,7 C.F.R. § 301.92,Under active multi-state quarantine.,
emerald_ash_borer,Agrilus planipennis,emerald ash borer,threat,federal quarantine lifted,85 FR 81737,"Federal quarantine lifted January 14, 2021; state quarantines remain.",2021
asian_longhorned_beetle,Anoplophora glabripennis,Asian longhorned beetle,threat,active eradication,7 C.F.R. § 301.51,Under active eradication in Ohio and Massachusetts.,
medfly,Ceratitis capitata,Mediterranean fruit fly,threat,transient / eradication,7 C.F.R. §§ 301.78 et seq.,"Subject to recurring eradication quarantines, including in California.",
spongy_moth,Lymantria dispar,spongy moth,threat,active quarantine,7 C.F.R. § 301.45,Active northeastern quarantine; renamed from 'gypsy moth' in 2022.,2022
northern_giant_hornet,Vespa mandarinia,northern giant hornet ('murder hornet'),threat,eradicated from US,APHIS general authority,"Declared eradicated from the United States on December 18, 2024 — the first Vespa eradication in North America.",2024
new_world_screwworm,Cochliomyia hominivorax,New World screwworm,threat,sterile-insect eradication,Sterile Insect Technique program,"A June 3, 2026 detection in a calf in Zavala County, Texas reactivated sterile-insect eradication planning.",2026
schaus_swallowtail,Heraclides aristodemus ponceanus,Schaus swallowtail,protected,ESA-listed,16 U.S.C. § 1531,"Among the first insects listed under the ESA — with the Bahama swallowtail — initially as threatened (April 28, 1976) and reclassified endangered in 1984.",1976
delhi_sands_fly,Rhaphiomidas terminatus abdominalis,Delhi Sands flower-loving fly,protected,ESA-listed,16 U.S.C. § 1531,The first and only fly listed (1993); protagonist of the Home Builders v. Babbitt Commerce Clause case.,1993
rusty_patched_bumblebee,Bombus affinis,rusty patched bumble bee,protected,ESA-listed,16 U.S.C. § 1531,"First bee in the continental US listed under the ESA (effective March 21, 2017).",2017
american_burying_beetle,Nicrophorus americanus,American burying beetle,protected,ESA-listed,16 U.S.C. § 1531,Once found in 35 states; now persisting in only six.,
monarch,Danaus plexippus,monarch butterfly,protected,proposed threatened (unlisted),16 U.S.C. § 1531,"Proposed for threatened listing December 12, 2024; final rule not yet effective as of June 29, 2026, according to FWS status text.",2024
queen_alexandras_birdwing,Ornithoptera alexandrae,Queen Alexandra's birdwing,protected,CITES Appendix I,Convention on International Trade in Endangered Species (1973),The world's largest butterfly; central to the illicit butterfly trade and the Kojima smuggling prosecution.,
western_honey_bee,Apis mellifera,western honey bee,property,ferae naturae / qualified property,7 U.S.C. §§ 281–286,"Owned only while hived or actively pursued; ~10,000 hives stolen 2013–2024 and prosecuted as agricultural/livestock theft.",
oxitec_aedes,Aedes aegypti (OX5034),Oxitec engineered yellow-fever mosquito,invention,EPA experimental-use release,Coordinated Framework for Regulation of Biotechnology (1986),Genetically engineered line released in the Florida Keys under EPA Experimental Use Permit (2020; amended 2022).,2020
house_cricket,Acheta domesticus,house cricket,invention,EU novel-food authorized,Regulation (EU) 2015/2283,Authorized for human food in the EU via an individual implementing regulation and EFSA opinion.,
yellow_mealworm,Tenebrio molitor,yellow mealworm,invention,EU novel-food authorized,Regulation (EU) 2015/2283,Among the first insects authorized as an EU novel food.,
black_soldier_fly,Hermetia illucens,black soldier fly,invention,authorized feed insect,Regulation (EU) 2017/893,Larvae approved by the US FDA/AAFCO arrangement for salmonids in 2016 and admitted to EU aquaculture feed.,2016
silkworm,Bombyx mori,domestic silkworm,invention,sericulture-regulated,Central Silk Board Act of 1948 (India),Quality-controlled silkworm biology governed as commercial public interest; some Indian acts criminalize unauthorized seed production.,
fruit_fly,Drosophila melanogaster,common fruit fly,moral_patient,candidate sentient invertebrate,Animal Welfare (Sentience) Act 2022 (extension power),Gibbons et al. (2022) scored adult flies 6 of 8 sentience criteria — higher than some decapods already covered by the UK Act.,2022
trial_weevils,Curculionidae (weevils),the weevils of St-Julien,defendant,historical defendant,ecclesiastical trial,Defendants in the celebrated 1545–46 and 1587 St-Julien vine-weevil prosecutions; the 1587 community offered them a land preserve.,1587
plague_flea,Xenopsylla cheopis,oriental rat flea,weapon,historical biological weapon,Biological Weapons Convention (1972),"Plague-infected fleas were air-dropped by Japan's Unit 731; the October 27, 1940 Ningbo attack alone caused roughly 1,500 deaths.",1940
